Date,Open,High,Low,Close,Adj Close,Volume
2019-06-21,3.278668,3.280179,2.391997,3.201412,3.201412,133488812
2019-06-22,3.153618,3.155807,1.876100,2.158967,2.158967,223603358
2019-06-23,2.160110,2.201109,1.776865,1.890702,1.890702,177290665
2019-06-24,1.890702,1.984108,1.302322,1.383728,1.383728,184117575
2019-06-25,1.374857,1.825113,1.314638,1.537290,1.537290,277665414
2019-06-26,1.537290,1.841768,1.493112,1.583982,1.583982,169915841
2019-06-27,1.583982,1.585714,1.336107,1.390327,1.390327,117242289
2019-06-28,1.393822,1.556159,1.358332,1.448760,1.448760,121576369
2019-06-29,1.450982,1.513250,1.401984,1.499694,1.499694,109982117
2019-06-30,1.497390,1.575769,1.384707,1.434782,1.434782,119391276
2019-07-01,1.434782,1.457872,1.248068,1.347235,1.347235,114335020
2019-07-02,1.340783,1.352820,1.036656,1.136488,1.136488,128459505
2019-07-03,1.135902,1.187449,1.078674,1.115418,1.115418,112712391
2019-07-04,1.112090,1.143770,0.988405,1.009955,1.009955,96454283
2019-07-05,1.009681,1.174003,0.986285,1.126153,1.126153,103703180
2019-07-06,1.127561,1.129595,1.024808,1.027147,1.027147,64939220
2019-07-07,1.028597,1.103603,1.026536,1.067867,1.067867,51623447
2019-07-08,1.066775,1.067881,1.033744,1.052775,1.052775,43616506
2019-07-09,1.053356,1.082864,1.024126,1.045145,1.045145,94263135
2019-07-10,1.042788,1.080865,0.951053,1.029993,1.029993,146338478
2019-07-11,1.030177,1.036362,0.841159,0.861834,0.861834,153148499
2019-07-12,0.855558,0.940588,0.803384,0.890458,0.890458,140797532
2019-07-13,0.891661,1.022727,0.875539,0.936202,0.936202,132744655
2019-07-14,0.934619,1.019178,0.823950,0.823950,0.823950,119707605
2019-07-15,0.823801,0.841695,0.745224,0.808505,0.808505,117943656
2019-07-16,0.808025,0.816774,0.632021,0.644633,0.644633,90581456
2019-07-17,0.642938,0.735383,0.612629,0.673160,0.673160,109865275
2019-07-18,0.674591,0.702635,0.647316,0.695855,0.695855,99086040
2019-07-19,0.695855,0.695855,0.652915,0.672026,0.672026,91624752
2019-07-20,0.672460,0.749210,0.664749,0.710694,0.710694,112340171
2019-07-21,0.710694,0.713256,0.661993,0.695447,0.695447,104231794
2019-07-22,0.695558,0.701007,0.635236,0.641348,0.641348,77239612
2019-07-23,0.641137,0.642977,0.572217,0.581043,0.581043,78080034
2019-07-24,0.581043,0.610777,0.557196,0.604915,0.604915,77190533
2019-07-25,0.604850,0.611931,0.587000,0.609737,0.609737,55944618
2019-07-26,0.609957,0.708415,0.595688,0.656126,0.656126,89508445
2019-07-27,0.655416,0.666554,0.578964,0.580435,0.580435,64830897
2019-07-28,0.580435,0.595831,0.560176,0.574872,0.574872,54003797
2019-07-29,0.575520,0.589789,0.559473,0.572797,0.572797,61012725
2019-07-30,0.572961,0.586240,0.560771,0.568552,0.568552,62095437
2019-07-31,0.569139,0.577136,0.563500,0.567098,0.567098,60419029
2019-08-01,0.568060,0.568943,0.514144,0.557738,0.557738,50093763
2019-08-02,0.558125,0.882909,0.557930,0.801607,0.801607,284046277
2019-08-03,0.802512,0.857626,0.744121,0.745467,0.745467,107927951
2019-08-04,0.745753,0.763879,0.697292,0.706384,0.706384,73139185
2019-08-05,0.707270,0.803464,0.680481,0.794087,0.794087,100663102
2019-08-06,0.793169,0.801030,0.693062,0.703362,0.703362,83242834
2019-08-07,0.700724,0.722134,0.684477,0.692338,0.692338,69558222
2019-08-08,0.692338,0.771192,0.660569,0.726802,0.726802,87885109
2019-08-09,0.727369,0.813974,0.700488,0.804282,0.804282,109884210
2019-08-10,0.804282,0.858527,0.764563,0.816905,0.816905,98322273
2019-08-11,0.816275,0.877914,0.815612,0.822988,0.822988,84979681
2019-08-12,0.822097,0.822713,0.773858,0.802670,0.802670,68002927
2019-08-13,0.802458,0.836239,0.784095,0.802807,0.802807,66235494
2019-08-14,0.802637,0.847316,0.715041,0.715041,0.715041,74788787
2019-08-15,0.715041,0.773726,0.663839,0.709333,0.709333,75226005
2019-08-16,0.707859,0.732154,0.679868,0.682015,0.682015,62691881
2019-08-17,0.682878,0.712379,0.674980,0.684244,0.684244,57380881
2019-08-18,0.683677,0.697735,0.666764,0.677905,0.677905,55153057
2019-08-19,0.676068,0.682403,0.655590,0.660958,0.660958,61643720
2019-08-20,0.660283,0.660283,0.607995,0.625582,0.625582,64980440
2019-08-21,0.627732,0.630396,0.558899,0.567144,0.567144,65334103
2019-08-22,0.567649,0.587442,0.530718,0.573076,0.573076,57806938
2019-08-23,0.573076,0.581882,0.551332,0.561043,0.561043,52556814
2019-08-24,0.560401,0.577298,0.549151,0.577248,0.577248,59964968
2019-08-25,0.577248,0.587672,0.534690,0.544182,0.544182,42184816
2019-08-26,0.544866,0.558404,0.520748,0.521189,0.521189,47745079
2019-08-27,0.520856,0.549076,0.510801,0.520805,0.520805,47432939
